,Framecount,Prediction,Confident,Enthusiastic,Frustrated,Nervous,Neutral,Scared,Uncomfortable
0,50,nervous,0.29435044527053833,0.027813192456960678,0.005081606563180685,0.5601390600204468,0.02360478602349758,0.08837252110242844,0.0006385158048942685
1,60,nervous,0.0682477131485939,0.044242411851882935,0.003469638992100954,0.5732884407043457,0.09098650515079498,0.21948714554309845,0.0002781409421004355
2,70,nervous,0.1587396264076233,0.0006383387371897697,0.003506237408146262,0.6454824805259705,0.1476854830980301,0.0437217652797699,0.00022604077821597457
3,80,confident,0.787642240524292,0.0010546693811193109,0.00862299744039774,0.13684701919555664,0.018952995538711548,0.04679139330983162,8.865002018865198e-05
4,110,confident,0.6432409882545471,0.0007114051841199398,0.05978565663099289,0.1884460598230362,0.002665747655555606,0.10446960479021072,0.0006805102457292378
5,120,nervous,0.11722265183925629,0.014246305450797081,0.017115341499447823,0.6067979335784912,0.07505294680595398,0.1689509153366089,0.0006138069438748062
6,130,nervous,0.27382516860961914,0.000455253291875124,0.0040743388235569,0.6400766968727112,0.023790935054421425,0.05728928744792938,0.0004884247900918126
7,140,confident,0.414600670337677,0.04954107850790024,0.07856186479330063,0.18383477628231049,0.01303707342594862,0.25702276825904846,0.0034016789868474007
8,150,nervous,0.10612467676401138,0.0002253343554912135,0.006137792486697435,0.6824307441711426,0.05660037323832512,0.14634743332862854,0.002133611124008894
9,160,confident,0.4727020263671875,0.0004484943929128349,0.005347692407667637,0.3388906419277191,0.06907469034194946,0.11201955378055573,0.0015169050311669707
10,170,nervous,0.27866634726524353,0.0014534059446305037,0.02278648503124714,0.5216480493545532,0.014138773083686829,0.16065804660320282,0.0006489015067927539
11,180,nervous,0.047459281980991364,0.000654662202578038,0.0054259453900158405,0.7949494123458862,0.019440162926912308,0.1309092938899994,0.0011612611124292016
12,190,nervous,0.044652681797742844,0.00023520806280430406,0.00130017613992095,0.8410767912864685,0.047378282994031906,0.06523235887289047,0.00012447117478586733
13,200,confident,0.5067635774612427,0.0010177429066970944,0.020733045414090157,0.3340069651603699,0.007806558161973953,0.12917253375053406,0.0004995698691345751
14,210,scared,0.11423022300004959,0.006431165151298046,0.051989730447530746,0.35291075706481934,0.03239685669541359,0.4330606460571289,0.008980685845017433
15,220,nervous,0.09218572825193405,0.0005047428421676159,0.011187086813151836,0.6689004898071289,0.018329152837395668,0.20860262215137482,0.00029019848443567753
16,230,nervous,0.011700035072863102,0.00046160639612935483,0.004345952533185482,0.8407761454582214,0.024005336686968803,0.11839395761489868,0.00031699612736701965
17,240,scared,0.053099554032087326,0.004950042814016342,0.2183980494737625,0.35742637515068054,0.002312541240826249,0.3634663224220276,0.0003471596573945135
18,280,nervous,0.06413035839796066,0.012728217989206314,0.012501337565481663,0.7400361895561218,0.003100944682955742,0.1673467457294464,0.00015613673895131797
19,290,confident,0.9971635937690735,0.0003856317780446261,9.338450036011636e-05,0.0009557517478242517,0.0010515224421396852,0.00020496067008934915,0.0001450890558771789
20,300,confident,0.9966289401054382,0.00044764034100808203,0.000116863360744901,0.0022179309744387865,0.0003781266859732568,0.00017327228852082044,3.724172347574495e-05
21,310,confident,0.9283639788627625,0.006279498338699341,0.00240834872238338,0.04737930744886398,0.006769680883735418,0.007984925992786884,0.0008142250590026379
22,320,confident,0.9854528307914734,0.012023862451314926,0.00027576228603720665,0.0012343619018793106,0.00023724112543277442,0.0006707551656290889,0.00010528625716688111
23,330,confident,0.9358930587768555,0.010677184909582138,0.001850808272138238,0.04278738051652908,0.0013993183383718133,0.0070365192368626595,0.0003557407180778682
24,340,confident,0.9915750622749329,0.0006980118341743946,0.0002103930019075051,0.004315539728850126,0.0024912399239838123,0.0006414434174075723,6.818544352427125e-05
25,350,confident,0.9947285056114197,0.004111810587346554,0.00017942734120879322,0.00025748737971298397,9.595154551789165e-05,0.0005054199136793613,0.00012150366819696501
26,360,confident,0.9883119463920593,0.007749459240585566,0.00012606738891918212,0.0015241388464346528,0.0015987673541530967,0.0006041461019776762,8.538422844139859e-05
27,370,confident,0.9712662696838379,0.006843451876193285,0.0003414005332160741,0.013588727451860905,0.0010489104315638542,0.0068994672037661076,1.1813331184384879e-05
28,380,confident,0.9878641963005066,0.002822862472385168,6.67314016027376e-05,0.007035246584564447,0.00013940724602434784,0.00205331202596426,1.813441667763982e-05
29,390,confident,0.970280110836029,0.026890253648161888,0.00033857623930089176,0.0012368285097181797,0.0005097288521938026,0.000672565889544785,7.194593490567058e-05
30,400,confident,0.981101393699646,0.0173261146992445,0.00014994746015872806,0.0005105830496177077,0.0004711431101895869,0.0003703668771777302,7.038325566099957e-05
31,410,confident,0.9862536191940308,0.0032741688191890717,0.00046376290265470743,0.00225642672739923,0.006648648995906115,0.001056609209626913,4.672320210374892e-05
32,420,nervous,0.11396414786577225,0.0009168782853521407,0.0005025157006457448,0.8644434809684753,0.0034283529967069626,0.01673276536166668,1.1831432857434265e-05
33,430,nervous,0.07467906177043915,0.0028750323690474033,0.0068352180533111095,0.8741227388381958,0.029192328453063965,0.011145366355776787,0.0011501883855089545
34,440,confident,0.9399980306625366,0.024288883432745934,0.0013548334827646613,0.011525018140673637,0.0005415341001935303,0.02216469869017601,0.00012693960161413997
35,450,confident,0.3263032138347626,0.03217330574989319,0.030447017401456833,0.2958732843399048,0.0077255889773368835,0.30722880363464355,0.00024878952535800636
36,460,confident,0.5582146644592285,0.29976797103881836,0.014810941182076931,0.045582499355077744,0.017029285430908203,0.06301793456077576,0.0015767496079206467
37,470,scared,0.030293405055999756,0.13436077535152435,0.14947697520256042,0.13351891934871674,0.002524350304156542,0.5494749546051025,0.00035060688969679177
38,480,nervous,0.13053207099437714,0.10867796093225479,0.010923199355602264,0.4907655119895935,0.016764556989073753,0.2416275590658188,0.0007091100560501218
39,490,nervous,0.019189035519957542,0.003149394178763032,0.02127619832754135,0.9026458263397217,0.009422286413609982,0.04164520651102066,0.0026719742454588413
40,500,nervous,0.016467779874801636,0.014931743033230305,0.016092238947749138,0.8397079706192017,0.03561120852828026,0.07345233112573624,0.0037367469631135464
41,510,nervous,0.03277760371565819,0.1242741271853447,0.05033237859606743,0.4428521990776062,0.14078585803508759,0.2004019170999527,0.008575888350605965
42,520,scared,0.0302584245800972,0.25426116585731506,0.0814271792769432,0.12977321445941925,0.015947362408041954,0.4867344796657562,0.0015981820179149508
43,530,frustrated,0.08223564922809601,0.05739545822143555,0.4311787188053131,0.12799353897571564,0.0062447283416986465,0.29392391443252563,0.0010279171401634812
44,540,scared,0.07432439923286438,0.10225637257099152,0.3572259247303009,0.09612051397562027,0.005098302848637104,0.3640543222427368,0.0009202083456330001
45,550,nervous,0.07698056846857071,0.005013241432607174,0.012393049895763397,0.7734927535057068,0.08569853007793427,0.043885041028261185,0.0025368439964950085
46,560,confident,0.8768650889396667,0.10841898620128632,0.0006513844127766788,0.008633581921458244,0.0014839789364486933,0.0035818233154714108,0.0003649891878012568
47,570,confident,0.3928609788417816,0.14022712409496307,0.012837613932788372,0.35467344522476196,0.008398531936109066,0.0904737114906311,0.000528584118001163
48,580,nervous,0.10137981921434402,0.06888163834810257,0.046907689422369,0.6041818857192993,0.012529117986559868,0.16378380358219147,0.0023361113853752613
49,590,scared,0.01275034062564373,0.21622411906719208,0.006652724929153919,0.36472487449645996,0.014010380022227764,0.3853316009044647,0.0003059297741856426
50,600,nervous,0.02564784325659275,0.009468301199376583,0.00976787880063057,0.8580524325370789,0.016559531912207603,0.07878430187702179,0.0017196557018905878
51,610,nervous,0.15601016581058502,0.009103663265705109,0.021220363676548004,0.5640885829925537,0.15630364418029785,0.08347751200199127,0.009795992635190487
52,620,nervous,0.20958511531352997,0.07132349908351898,0.014926009811460972,0.551307737827301,0.029234273359179497,0.12242007255554199,0.0012032247614115477
53,630,neutral,0.08881362527608871,0.03567483276128769,0.03173517808318138,0.2919015884399414,0.32520538568496704,0.22263401746749878,0.004035408142954111
54,640,nervous,0.025794247165322304,0.016433019191026688,0.028499886393547058,0.5758115649223328,0.01646878570318222,0.33660656213760376,0.00038584033609367907
55,650,nervous,0.1787445843219757,0.014914165250957012,0.023233309388160706,0.6088786125183105,0.0934547707438469,0.07609695941209793,0.004677618853747845
56,660,nervous,0.1104627177119255,0.001097588217817247,0.0038251292426139116,0.8527801036834717,0.02441081590950489,0.006908977869898081,0.0005146488547325134
57,670,nervous,0.0019388196524232626,0.001573212561197579,0.0064976890571415424,0.8540648818016052,0.02602456323802471,0.1097133457660675,0.00018750716117210686
58,680,nervous,0.009084300138056278,0.006170649081468582,0.00735384551808238,0.891502320766449,0.0221975389868021,0.0636378601193428,5.350265564629808e-05
59,690,nervous,0.02735425904393196,0.007498164661228657,0.01778293214738369,0.8164088726043701,0.01048530638217926,0.12030162662267685,0.00016872027481440455
60,700,nervous,0.027203023433685303,0.0014220282901078463,0.0013599920785054564,0.8984385132789612,0.05187388136982918,0.019649529829621315,5.297562529449351e-05
61,710,nervous,0.02029501087963581,0.01251311507076025,0.003066391684114933,0.8768807649612427,0.0018028932390734553,0.085331991314888,0.00010972795280395076
62,720,nervous,0.059561554342508316,0.013063890859484673,0.008053009398281574,0.8227322697639465,0.007522077765315771,0.08882115036249161,0.00024607800878584385
63,730,confident,0.5191054344177246,0.2010524570941925,0.007151633966714144,0.20058588683605194,0.00940044317394495,0.0616937130689621,0.0010103725362569094
64,740,nervous,0.025591125711798668,0.07387322932481766,0.018708128482103348,0.4787885546684265,0.007878117263317108,0.3949727714061737,0.00018809006724040955
65,750,nervous,0.011396627873182297,0.005936658009886742,0.0028658672235906124,0.9454788565635681,0.010304654017090797,0.02380790188908577,0.00020946496806573123
66,760,confident,0.2692566215991974,0.25229355692863464,0.04101084917783737,0.19771723449230194,0.009409620426595211,0.22913682460784912,0.001175291370600462
67,770,nervous,0.050514791160821915,0.0004260410205461085,0.004327865317463875,0.8309398889541626,0.06203952804207802,0.05149947479367256,0.00025249726604670286
