,Framecount,Expression,Probability,EAR
64,640,neutral,"tensor([0.1598, 0.0070, 0.0541, 0.3057, 0.3782, 0.0943, 0.0009])",0.22564819676147985
65,650,nervous,"tensor([0.0403, 0.0021, 0.0765, 0.4265, 0.4095, 0.0447, 0.0004])",0.21980906284502089
66,660,nervous,"tensor([2.2770e-02, 8.3362e-04, 4.8920e-02, 4.8057e-01, 4.2123e-01, 2.5610e-02,
        7.3693e-05])",0.2857142857142857
67,670,nervous,"tensor([5.3824e-03, 2.8171e-04, 2.3148e-02, 4.9353e-01, 4.6255e-01, 1.5089e-02,
        2.2434e-05])",0.3079680580577736
68,680,neutral,"tensor([6.5759e-03, 1.7008e-04, 1.9642e-02, 4.0292e-01, 5.6016e-01, 1.0509e-02,
        1.9677e-05])",0.29853298198751677
69,690,neutral,"tensor([1.4758e-02, 3.3421e-04, 1.7054e-02, 4.1052e-01, 5.4127e-01, 1.6053e-02,
        1.6402e-05])",0.32362688617174395
70,700,neutral,"tensor([1.8189e-02, 3.1863e-04, 2.1036e-02, 3.5113e-01, 5.9757e-01, 1.1736e-02,
        2.1184e-05])",0.28535124283296215
71,710,neutral,"tensor([1.5148e-02, 2.4093e-04, 1.9493e-02, 3.5874e-01, 5.9581e-01, 1.0556e-02,
        1.8400e-05])",0.3206117249455934
72,720,nervous,"tensor([1.9696e-02, 3.0506e-04, 1.5639e-02, 5.4539e-01, 4.1024e-01, 8.6934e-03,
        4.3395e-05])",0.29588709774529337
73,730,nervous,"tensor([1.8846e-02, 3.7029e-04, 2.0307e-02, 5.6161e-01, 3.8943e-01, 9.3805e-03,
        5.8132e-05])",0.2697377950791573
74,740,nervous,"tensor([1.6094e-02, 2.6130e-04, 3.0132e-02, 5.3476e-01, 4.0046e-01, 1.8213e-02,
        7.4914e-05])",0.25476551678586984
75,750,nervous,"tensor([9.2801e-03, 3.6005e-04, 1.8037e-02, 5.4134e-01, 4.1091e-01, 2.0020e-02,
        5.0919e-05])",0.2592977220942265
76,760,nervous,"tensor([1.7683e-02, 8.6627e-04, 3.1634e-02, 4.8550e-01, 4.2707e-01, 3.7151e-02,
        9.4895e-05])",0.26674831727851717
77,770,neutral,"tensor([1.6129e-02, 2.0623e-04, 1.5277e-02, 3.7785e-01, 5.7745e-01, 1.3056e-02,
        2.9168e-05])",0.3124271394468331
78,780,nervous,"tensor([1.0264e-02, 2.0047e-04, 2.1807e-02, 5.0021e-01, 4.4798e-01, 1.9494e-02,
        4.0968e-05])",0.2897478723193072
79,790,neutral,"tensor([2.2412e-02, 1.8478e-04, 2.1761e-02, 2.9093e-01, 6.5415e-01, 1.0533e-02,
        2.9262e-05])",0.31841974548121565
80,800,neutral,"tensor([3.2354e-02, 1.1481e-03, 3.6073e-02, 3.1793e-01, 5.8814e-01, 2.4263e-02,
        8.7813e-05])",0.29634025382197315
