,Framecount,Expression,Probability,EAR
119,1190,neutral,"tensor([2.3112e-02, 2.7151e-04, 9.0843e-03, 1.8848e-01, 7.7485e-01, 4.1488e-03,
        5.6500e-05])",0.19230789652858568
120,1200,nervous,"tensor([2.9711e-03, 1.4089e-05, 4.4122e-03, 7.7207e-01, 2.1186e-01, 8.6712e-03,
        1.9944e-06])",0.15090367347255543
121,1210,nervous,"tensor([4.0661e-03, 2.8644e-05, 6.0323e-03, 7.2848e-01, 2.5446e-01, 6.9305e-03,
        1.9903e-06])",0.09851693225963484
122,1220,nervous,"tensor([1.6350e-02, 1.9857e-04, 1.4729e-02, 5.6003e-01, 4.0220e-01, 6.4675e-03,
        1.8172e-05])",0.25225512609916817
123,1230,neutral,"tensor([3.4204e-02, 9.4822e-04, 2.9102e-02, 2.2825e-01, 7.0217e-01, 5.2339e-03,
        9.8449e-05])",0.29640181792135345
124,1240,neutral,"tensor([9.2761e-02, 9.0771e-04, 2.1730e-02, 3.8364e-01, 4.9286e-01, 7.9650e-03,
        1.3902e-04])",0.13003589567063362
125,1250,neutral,"tensor([0.1542, 0.0450, 0.0741, 0.2146, 0.4110, 0.1006, 0.0004])",0.27603674085269414
126,1260,nervous,"tensor([0.0674, 0.0013, 0.0726, 0.4439, 0.4023, 0.0120, 0.0005])",0.28572813092440674
127,1270,neutral,"tensor([5.1843e-02, 8.0811e-04, 3.2472e-02, 3.9678e-01, 5.0305e-01, 1.4862e-02,
        1.8046e-04])",0.248923160035125
128,1280,neutral,"tensor([0.1536, 0.0047, 0.0930, 0.1837, 0.5467, 0.0174, 0.0008])",0.2327904822564218
129,1290,neutral,"tensor([2.3161e-02, 4.5911e-04, 5.4440e-02, 3.8721e-01, 5.2090e-01, 1.3692e-02,
        1.3703e-04])",0.23061426168951027
130,1300,neutral,"tensor([2.6880e-02, 5.7582e-04, 4.2068e-02, 4.3054e-01, 4.8816e-01, 1.1649e-02,
        1.2673e-04])",0.311506880777893
131,1310,neutral,"tensor([4.6988e-02, 4.8169e-04, 3.6845e-02, 2.2657e-01, 6.8143e-01, 7.5776e-03,
        1.0872e-04])",0.3035714285714286
