,Framecount,Attention
0,50,Normal
1,100,Normal
2,150,Normal
3,200,Normal
4,250,Normal
5,400,Normal
6,500,Normal
7,550,Normal
8,700,Normal
9,750,Normal
10,800,Normal
11,850,Normal
12,950,Normal
13,1050,Normal
14,1200,Low
15,1450,Normal
16,1500,Normal
17,1550,Normal
18,1600,Normal
19,1650,Normal
